Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
"Fairfax County, VA, dba: Fairfax Connector Bus System",Fairfax,VA,30068,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759",284,MB,Bus,PT,284,"63,370,374",,"28,534,205",,"4,048,135",,"10,287,552",,0,,"106,240,266",,0,
Spokane Transit Authority,Spokane,WA,00002,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,83764,"Spokane, WA","447,279",279,MB,Bus,DO,127,"43,950,128",,"11,473,396",,"5,049,672",,"14,814,259",,0,,"75,287,455",,0,
Spokane Transit Authority,Spokane,WA,00002,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,83764,"Spokane, WA","447,279",279,VP,Vanpool,DO,73,"197,277",,"94,637",,"10,390",,"441,599",,0,,"743,903",,0,
Spokane Transit Authority,Spokane,WA,00002,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,83764,"Spokane, WA","447,279",279,DR,Demand Response,DO,47,"7,831,793",,"1,381,150",,"226,858",,"2,466,818",,0,,"11,906,619",,0,
Spokane Transit Authority,Spokane,WA,00002,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,83764,"Spokane, WA","447,279",279,DR,Demand Response,PT,32,"3,919,096",,"598,882",,"130,525",,"1,395,380",,0,,"6,043,883",,0,
Port Authority Trans-Hudson Corporation,New York,NY,20098,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",274,HR,Heavy Rail,DO,274,"159,594,543",,"50,037,042",,"104,653,937",,"166,959,912",,0,,"481,245,434",,0,
Central Ohio Transit Authority,Columbus,OH,50016,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,19234,"Columbus, OH","1,567,254",274,MB,Bus,DO,189,"53,215,115",,"22,791,136",,"10,784,906",,"40,321,356",,0,,"127,112,513",,0,
Central Ohio Transit Authority,Columbus,OH,50016,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,19234,"Columbus, OH","1,567,254",274,DR,Demand Response,PT,64,"11,719,155",,"873,944",,"590,092",,"1,120,628",,0,,"14,303,819",,0,
Central Ohio Transit Authority,Columbus,OH,50016,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,19234,"Columbus, OH","1,567,254",274,DR,Demand Response,DO,21,"1,324,012",,"200,120",,"44,952",,"302,730",,0,,"1,871,814",,0,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",270,MB,Bus,DO,167,"48,813,616",,"12,013,532",,"2,102,538",,"17,799,273",,0,,"80,728,959",,0,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",270,DR,Demand Response,PT,47,"4,078,572",,"559,014",,"345,992",,"4,918,593",,0,,"9,902,171",,0,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",270,DR,Demand Response,TN,21,"493,325",,"76,997",,"23,292",,"471,200",,0,,"1,064,814",,0,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",270,DR,Demand Response,TX,19,"549,643",,"146,301",,"54,564",,"674,520",,0,,"1,425,028",,0,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",270,MB,Bus,PT,16,"1,559,710",,"458,459",,"251,598",,"1,913,434",,0,,"4,183,201",,0,
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",270,RB,Bus Rapid Transit,DO,0,0,,0,,0,,0,,0,,0,,0,
Suburban Mobility Authority for Regional Transportation,Detroit,MI,50031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23824,"Detroit, MI","3,776,890",269,MB,Bus,DO,155,"49,127,423",,"17,891,610",,"962,548",,"15,492,377",,0,,"83,473,958",,0,
Suburban Mobility Authority for Regional Transportation,Detroit,MI,50031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23824,"Detroit, MI","3,776,890",269,DR,Demand Response,DO,95,"12,130,115",,"1,132,434",,"5,589",,"4,945,539",,0,,"18,213,677",,0,
Suburban Mobility Authority for Regional Transportation,Detroit,MI,50031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23824,"Detroit, MI","3,776,890",269,DR,Demand Response,PT,19,"1,010,780",,"202,187",,"23,393",,"910,395",,0,,"2,146,755",,"2,941,719",
Suburban Mobility Authority for Regional Transportation,Detroit,MI,50031,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23824,"Detroit, MI","3,776,890",269,MB,Bus,PT,0,761,,"30,877",,0,,"125,547",,0,,"157,185",,"1,925,387",
Ben Franklin Transit,Richland,WA,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,44479,"Kennewick--Richland--Pasco, WA","255,401",268,VP,Vanpool,DO,117,"894,079",,"387,667",,"53,383",,"323,014",,0,,"1,658,143",,0,
Ben Franklin Transit,Richland,WA,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,44479,"Kennewick--Richland--Pasco, WA","255,401",268,DR,Demand Response,DO,65,"9,336,876",,"1,194,983",,"389,692",,"2,832,827",,0,,"13,754,378",,0,
Ben Franklin Transit,Richland,WA,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,44479,"Kennewick--Richland--Pasco, WA","255,401",268,MB,Bus,DO,51,"16,867,161",,"3,393,501",,"790,447",,"5,537,280",,0,,"26,588,389",,0,
Ben Franklin Transit,Richland,WA,00018,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,44479,"Kennewick--Richland--Pasco, WA","255,401",268,DR,Demand Response,PT,35,"2,179,718",,"381,300",,"85,665",,"601,076",,0,,"3,247,759",,0,
City of Tucson,Tucson,AZ,90033,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,88732,"Tucson, AZ","875,441",265,MB,Bus,PT,165,"46,132,802",,"7,661,650",,"3,892,679",,"8,202,063",,0,,"65,889,194",,0,
City of Tucson,Tucson,AZ,90033,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,88732,"Tucson, AZ","875,441",265,DR,Demand Response,PT,94,"12,935,267",,"1,717,244",,"733,715",,"2,004,442",,0,,"17,390,668",,0,
City of Tucson,Tucson,AZ,90033,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,88732,"Tucson, AZ","875,441",265,SR,Streetcar Rail,PT,6,"1,614,686",,"1,123,572",,"488,290",,"1,209,802",,0,,"4,436,350",,0,
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,40007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,73261,"Raleigh, NC","1,106,646",262,DR,Demand Response,TX,178,"6,167,584",,"2,874,306",,"3,657",,"1,528,002",,0,,"10,573,549",,0,
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,40007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,73261,"Raleigh, NC","1,106,646",262,MB,Bus,PT,84,"20,150,060",,"4,881,217",,"1,714,194",,"8,768,830",,0,,"35,514,301",,"606,340",
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,40007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,73261,"Raleigh, NC","1,106,646",262,RB,Bus Rapid Transit,PT,0,0,,0,,0,,0,,0,,0,,0,
Victor Valley Transit Authority,Hesperia,CA,90148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,90541,"Victorville--Hesperia--Apple Valley, CA","355,816",258,VP,Vanpool,PT,176,"1,194,333",,"120,203",,"11,975",,"1,862,242",,0,,"3,188,753",,0,
Victor Valley Transit Authority,Hesperia,CA,90148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,90541,"Victorville--Hesperia--Apple Valley, CA","355,816",258,MB,Bus,PT,46,"14,702,506",,"3,485,322",,"542,309",,"3,404,817",,0,,"22,134,954",,0,
Victor Valley Transit Authority,Hesperia,CA,90148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,90541,"Victorville--Hesperia--Apple Valley, CA","355,816",258,DR,Demand Response,PT,30,"2,967,097",,"943,783",,"124,599",,"1,022,598",,0,,"5,058,077",,0,
Victor Valley Transit Authority,Hesperia,CA,90148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,90541,"Victorville--Hesperia--Apple Valley, CA","355,816",258,CB,Commuter Bus,PT,6,"459,311",,"178,200",,"23,139",,"149,739",,0,,"810,389",,0,
"Suffolk County , dba: Dept of Public Works - Transportation Division",Yaphank,NY,20072,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",255,DR,Demand Response,PT,139,"26,060,983",,"3,039,636",,"2,129,487",,"3,949,886",,0,,"35,179,992",,0,
"Suffolk County , dba: Dept of Public Works - Transportation Division",Yaphank,NY,20072,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",255,MB,Bus,PT,116,"31,337,260",,"9,269,130",,"2,873,632",,"7,520,651",,0,,"51,000,673",,0,
Mass Transportation Authority,Flint,MI,50032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,29872,"Flint, MI","298,964",245,DR,Demand Response,DO,152,"13,404,752",,"2,798,231",,"943,439",,"6,934,067",,0,,"24,080,489",,0,
Mass Transportation Authority,Flint,MI,50032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,29872,"Flint, MI","298,964",245,MB,Bus,DO,91,"9,376,917",,"2,606,483",,"1,174,133",,"4,136,243",,0,,"17,293,776",,0,
Mass Transportation Authority,Flint,MI,50032,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,29872,"Flint, MI","298,964",245,DR,Demand Response,PT,2,"92,962",,"6,021",,"7,641",,"18,544",,0,,"125,168",,0,
"Regional Transit Service - Monroe County, dba: RTS Monroe (MB) and RTS Access (DR)",Rochester,NY,20113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75664,"Rochester, NY","704,327",240,MB,Bus,DO,171,"39,417,889",,"15,595,011",,"6,479,905",,"13,467,940",,0,,"74,960,745",,0,
Intercity Transit,Olympia,WA,00019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,65242,"Olympia--Lacey, WA","208,157",240,VP,Vanpool,DO,147,"1,281,790",,"818,692",,"134,333",,"496,079",,0,,"2,730,894",,0,
"Regional Transit Service - Monroe County, dba: RTS Monroe (MB) and RTS Access (DR)",Rochester,NY,20113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75664,"Rochester, NY","704,327",240,DR,Demand Response,DO,64,"11,034,866",,"3,259,865",,"1,084,540",,"3,738,989",,0,,"19,118,260",,0,
Intercity Transit,Olympia,WA,00019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,65242,"Olympia--Lacey, WA","208,157",240,MB,Bus,DO,46,"19,484,156",,"4,965,520",,"1,821,248",,"7,341,335",,0,,"33,612,259",,0,
Intercity Transit,Olympia,WA,00019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,65242,"Olympia--Lacey, WA","208,157",240,DR,Demand Response,DO,45,"10,834,700",,"1,455,267",,"82,044",,"3,240,484",,0,,"15,612,495",,0,
"Regional Transit Service - Monroe County, dba: RTS Monroe (MB) and RTS Access (DR)",Rochester,NY,20113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,75664,"Rochester, NY","704,327",240,VP,Vanpool,PT,5,"23,292",,"1,254",,186,,"58,708",,0,,"83,440",,0,
Intercity Transit,Olympia,WA,00019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,65242,"Olympia--Lacey, WA","208,157",240,CB,Commuter Bus,DO,2,"1,038,975",,"283,259",,"52,356",,"329,777",,0,,"1,704,367",,0,
Metropolitan Transit Authority,Madison,TN,40004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,61273,"Nashville-Davidson, TN","1,158,642",239,MB,Bus,DO,135,"32,101,729",,"9,015,408",,"4,659,696",,"11,192,965",,0,,"56,969,798",,0,
Atlanta-Region Transit Link Authority,Atlanta,GA,42000,State Government Unit or Department of Transportation,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",239,VP,Vanpool,PT,135,"941,127",,"115,347",,"130,655",,"1,866,636",,0,,"3,053,765",,0,
Atlanta-Region Transit Link Authority,Atlanta,GA,42000,State Government Unit or Department of Transportation,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",239,CB,Commuter Bus,PT,104,"11,235,509",,"3,156,529",,"1,508,479",,"9,168,041",,0,,"25,068,558",,0,
Metropolitan Transit Authority,Madison,TN,40004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,61273,"Nashville-Davidson, TN","1,158,642",239,DR,Demand Response,TX,56,"1,187,584",,"327,740",,"178,567",,"603,874",,0,,"2,297,765",,0,
Metropolitan Transit Authority,Madison,TN,40004,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,61273,"Nashville-Davidson, TN","1,158,642",239,DR,Demand Response,DO,48,"8,723,616",,"1,994,181",,"124,209",,"2,190,401",,0,,"13,032,407",,0,
Greater Richmond Transit Company,Richmond,VA,30006,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,74746,"Richmond, VA","1,059,150",236,MB,Bus,DO,113,"28,008,718",,"5,686,068",,"1,886,171",,"11,528,467",,0,,"47,109,424",,0,
Greater Richmond Transit Company,Richmond,VA,30006,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,74746,"Richmond, VA","1,059,150",236,VP,Vanpool,PT,56,"309,781",,"231,476",,"16,119",,"1,443,473",,0,,"2,000,849",,0,
Greater Richmond Transit Company,Richmond,VA,30006,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,74746,"Richmond, VA","1,059,150",236,DR,Demand Response,PT,40,"5,547,284",,"539,255",,"71,680",,"1,544,265",,0,,"7,702,484",,0,
Greater Richmond Transit Company,Richmond,VA,30006,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,74746,"Richmond, VA","1,059,150",236,MB,Bus,PT,18,"41,053",,"2,379",,316,,"10,537",,0,,"54,285",,0,
Greater Richmond Transit Company,Richmond,VA,30006,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,74746,"Richmond, VA","1,059,150",236,RB,Bus Rapid Transit,DO,9,"2,917,843",,"589,402",,"387,884",,"1,195,008",,0,,"5,090,137",,0,
North County Transit District,Oceanside,CA,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78661,"San Diego, CA","3,070,300",231,MB,Bus,PT,135,"28,133,464",,"8,504,713",,"3,370,152",,"12,962,598",,0,,"52,970,927",,0,
North County Transit District,Oceanside,CA,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78661,"San Diego, CA","3,070,300",231,CR,Commuter Rail,PT,32,"11,648,608",,"6,607,779",,"5,722,529",,"9,234,638",,0,,"33,213,554",,0,
North County Transit District,Oceanside,CA,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78661,"San Diego, CA","3,070,300",231,CR,Commuter Rail,DO,30,"222,891",,"93,044",,"76,615",,"229,718",,0,,"622,268",,0,
North County Transit District,Oceanside,CA,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78661,"San Diego, CA","3,070,300",231,DR,Demand Response,PT,16,"3,818,881",,"1,755,118",,"477,744",,"3,046,098",,0,,"9,097,841",,0,
North County Transit District,Oceanside,CA,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78661,"San Diego, CA","3,070,300",231,YR,Hybrid Rail,PT,10,"8,945,598",,"3,349,106",,"8,337,453",,"7,499,968",,0,,"28,132,125",,0,
Menominee Indian Tribe of Wisconsin,Keshena,WI,55228,Tribe,Reduced Reporter,2022,55,Wisconsin Non-UZA,"2,782,206",31,MB,Bus,DO,12,0,,0,,0,,0,,"1,387,244",,"1,387,244",,0,
North County Transit District,Oceanside,CA,90030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78661,"San Diego, CA","3,070,300",231,YR,Hybrid Rail,DO,8,"146,454",,"69,951",,"105,627",,"130,246",,0,,"452,278",,0,
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,10048,State Government Unit or Department of Transportation,Full Reporter,2022,37243,"Hartford, CT","977,158",229,MB,Bus,DO,220,"79,339,370",,"26,413,798",,"3,784,980",,"14,082,831",,0,,"123,620,979",,0,
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,10048,State Government Unit or Department of Transportation,Full Reporter,2022,37243,"Hartford, CT","977,158",229,RB,Bus Rapid Transit,DO,9,"6,407,690",,"2,050,165",,"2,438,181",,"1,092,924",,0,,"11,988,960",,0,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2602,"Ann Arbor, MI","317,689",227,VP,Vanpool,PT,107,"275,297",,"44,388",,"170,429",,"1,467,772",,0,,"1,957,886",,0,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2602,"Ann Arbor, MI","317,689",227,MB,Bus,DO,75,"20,586,653",,"6,056,444",,"1,270,242",,"6,482,022",,0,,"34,395,361",,0,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2602,"Ann Arbor, MI","317,689",227,DR,Demand Response,PT,38,"4,711,138",,"849,622",,"480,527",,"2,312,759",,0,,"8,354,046",,0,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2602,"Ann Arbor, MI","317,689",227,DR,Demand Response,TX,4,"339,540",,"88,098",,"59,361",,"111,269",,0,,"598,268",,0,
Ann Arbor Area Transportation Authority,Ann Arbor,MI,50040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,2602,"Ann Arbor, MI","317,689",227,CB,Commuter Bus,PT,3,"1,273,046",,"285,599",,"149,755",,"885,678",,0,,"2,594,078",,0,
Kitsap Transit,Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9946,"Bremerton, WA","224,449",218,MB,Bus,DO,92,"15,828,545",,"5,462,613",,"1,611,029",,"6,659,798",,0,,"29,561,985",,0,
Kitsap Transit,Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9946,"Bremerton, WA","224,449",218,DR,Demand Response,DO,73,"8,735,884",,"1,338,261",,"965,246",,"3,917,967",,0,,"14,957,358",,0,
Kitsap Transit,Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9946,"Bremerton, WA","224,449",218,VP,Vanpool,DO,45,"512,346",,"172,362",,"50,667",,"282,926",,0,,"1,018,301",,0,
Kitsap Transit,Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9946,"Bremerton, WA","224,449",218,FB,Ferryboat,DO,6,"10,914,566",,"4,671,304",,"121,454",,"1,995,506",,0,,"17,702,830",,0,
Kitsap Transit,Bremerton,WA,00020,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9946,"Bremerton, WA","224,449",218,DR,Demand Response,TX,2,"82,593",,"44,818",,"39,491",,"134,091",,0,,"300,993",,0,
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority",Syracuse,NY,20018,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86302,"Syracuse, NY","413,660",214,MB,Bus,DO,161,"34,593,308",,"14,529,387",,"5,182,348",,"10,262,030",,0,,"64,567,073",,0,
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority",Syracuse,NY,20018,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86302,"Syracuse, NY","413,660",214,DR,Demand Response,DO,29,"2,372,198",,"803,820",,"174,630",,"400,691",,0,,"3,751,339",,0,
"Central New York Regional Transportation Authority, dba: New York Regional Transportation Authority",Syracuse,NY,20018,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86302,"Syracuse, NY","413,660",214,DR,Demand Response,PT,24,"2,624,453",,"738,611",,"322,843",,"1,141,622",,0,,"4,827,529",,0,
Kansas City Area Transportation Authority,Kansas City,MO,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",212,MB,Bus,DO,100,"37,256,050",,"14,402,796",,"5,642,100",,"21,951,151",,0,,"79,252,097",,0,
Kansas City Area Transportation Authority,Kansas City,MO,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",212,DR,Demand Response,TX,52,"4,966,722",,"366,577",,"517,102",,"563,814",,0,,"6,414,215",,"239,050",
Kansas City Area Transportation Authority,Kansas City,MO,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",212,DR,Demand Response,PT,26,"4,146,202",,"271,568",,"382,864",,"467,960",,0,,"5,268,594",,"254,312",
Kansas City Area Transportation Authority,Kansas City,MO,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",212,VP,Vanpool,PT,19,"212,598",,"21,904",,"61,479",,"161,654",,0,,"457,635",,0,
Kansas City Area Transportation Authority,Kansas City,MO,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",212,DR,Demand Response,DO,9,"1,571,409",,"501,902",,"151,994",,"534,267",,0,,"2,759,572",,0,
Kansas City Area Transportation Authority,Kansas City,MO,70005,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,43912,"Kansas City, MO--KS","1,674,218",212,RB,Bus Rapid Transit,DO,6,"2,489,570",,"688,548",,"430,715",,"1,074,409",,0,,"4,683,242",,0,
Pioneer Valley Transit Authority,Springfield,MA,10008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,83926,"Springfield, MA--CT","442,145",209,MB,Bus,PT,123,"29,354,298",,"8,358,881",,"1,522,238",,"5,771,065",,0,,"45,006,482",,0,
Pioneer Valley Transit Authority,Springfield,MA,10008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,83926,"Springfield, MA--CT","442,145",209,DR,Demand Response,PT,86,"6,557,091",,"181,362",,"300,924",,"865,366",,0,,"7,904,743",,0,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL","1,247,374",208,MB,Bus,DO,108,"39,254,245",,"14,937,815",,"5,606,324",,"37,972,806",,0,,"97,771,190",,0,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL","1,247,374",208,DR,Demand Response,PT,83,"8,614,897",,"1,763,281",,"419,978",,"5,809,133",,0,,"16,607,289",,0,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL","1,247,374",208,MB,Bus,PT,7,"829,852",,"133,785",,"15,181",,"419,729",,0,,"1,398,547",,0,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL","1,247,374",208,CB,Commuter Bus,PT,6,"178,793",,"114,175",,"67,583",,"332,920",,0,,"693,471",,0,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL","1,247,374",208,MG,Monorail/Automated Guideway,DO,3,"1,267,794",,"3,155,801",,"692,512",,"2,152,672",,0,,"7,268,779",,0,
Jacksonville Transportation Authority,Jacksonville,FL,40040,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42346,"Jacksonville, FL","1,247,374",208,FB,Ferryboat,PT,1,"1,852,914",,"337,308",,"175,862",,"796,130",,0,,"3,162,214",,0,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71155,"Port Huron, MI","82,226",207,DR,Demand Response,PT,161,"1,997,891",,"284,024",,"61,140",,"409,083",,0,,"2,752,138",,0,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71155,"Port Huron, MI","82,226",207,DR,Demand Response,DO,34,"3,322,854",,"1,413,507",,"364,539",,"1,266,025",,0,,"6,366,925",,0,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71155,"Port Huron, MI","82,226",207,MB,Bus,DO,9,"1,815,864",,"792,671",,"202,394",,"695,566",,0,,"3,506,495",,0,
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit",Port Huron,MI,50148,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71155,"Port Huron, MI","82,226",207,CB,Commuter Bus,DO,3,"201,897",,"90,158",,"22,761",,"79,041",,0,,"393,857",,0,
"City of Detroit , dba: Detroit Department of Transportation",Detroit,MI,50119,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,23824,"Detroit, MI","3,776,890",206,MB,Bus,DO,152,"44,223,441",,"22,007,472",,"9,047,669",,"22,065,303",,0,,"97,343,885",,0,
"City of Detroit , dba: Detroit Department of Transportation",Detroit,MI,50119,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,23824,"Detroit, MI","3,776,890",206,DR,Demand Response,PT,54,"2,586,310",,"270,119",,"112,454",,"1,859,742",,0,,"4,828,625",,0,
Town of Altavista,Altavista,VA,30157,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,MB,Bus,DO,2,0,,0,,0,,0,,"112,204",,"112,204",,0,
"Southern California Regional Rail Authority, dba: Metrolink",Los Angeles,CA,90151,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",195,CR,Commuter Rail,PT,195,"79,726,586",,"40,563,640",,"41,191,767",,"84,197,881",,0,,"245,679,874",,0,
"Central Arkansas Development Council (CADC/SCAT), dba: South Central Arkansas Transit",Benton,AR,60246,Private-Non-Profit Corporation,Rural Reporter,2022,50392,"Little Rock, AR","461,864",193,DR,Demand Response,DO,193,0,,0,,0,,0,,"13,575,076",,"13,575,076",,0,
Tampa Bay Area Regional Transit Authority,Tampa,FL,40200,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,86599,"Tampa--St. Petersburg, FL","2,783,045",189,VP,Vanpool,PT,189,"509,808",,"65,907",,"5,360",,"1,666,445",,0,,"2,247,520",,0,
